SETTINGS:
SimulateBool,DiskPlotBool,TrajectoryBool,VecPlotBool,XYCrossBool,XZCrossBool,BFieldTests,TimeDirection,Relativistic,HaloFieldBool,XFieldBool,DiskFieldBool,StopRadius,StopRadiusSensitivity,StopDistance,TimeoutSeconds,RelativisticVelThreshold,PrintStatus
True,False,False,False,False,False,False,1,True,True,True,True,20.01,0.1,-1,60,0.15,False

RUN DATA:
run #,mass,time (Y.m.d.H.M.S),dt,q_b,pos0[x],pos0[y],pos0[z],vel0[x],vel0[y],vel0[z],posF[x],posF[y],posF[z],velF[x],velF[y],velF[z],distanceTraveled,maxVelocity,arcLengthInRho1kpcRegion,iterations
1,1e-12,2017.03.20.21.54.54,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,-1.6869889640126504e-13,-1.8342574284036536e-14,6.9636452079135448e-14,-7.2762206698367544,-17.943801239055809,5.0601869100198069,-1.7161715478145372e-13,-2.2942060984754363e-14,8.4555775493803632e-14,20.692022452083375,1.8342574284036547e-13,0.0,2208
2,1e-12,2017.03.20.21.54.54,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,-1.290225990789195e-13,5.5027722852109665e-14,1.1819526970725897e-13,-5.4543712399339137,-12.95492908963571,14.251303628195425,-1.5258217255507899e-13,-2.8638003537786275e-14,2.1518583662326866e-13,25.040991975669836,1.8342574284036547e-13,0.0,2343
3,1e-12,2017.03.20.21.54.54,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,1.3887694658975497e-14,9.1712871420182749e-14,-1.5824311766855445e-13,-1.8195712315906829,12.142688313901479,15.814130609518292,7.4550313395032453e-15,1.2397211841902982e-13,4.0285254681390031e-13,65.600998020642123,1.8342574284036545e-13,0.0,6521
4,1e-12,2017.03.20.21.54.54,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,7.9700733675336126e-14,1.2839801998825583e-13,1.0395549360783429e-13,18.220250530046247,-4.582284150484905,6.8948759241707673,7.2631544400249597e-14,1.1511082586862898e-13,1.1747517835191594e-13,16.755904521573687,1.8342574284036547e-13,0.0,1882
5,1e-12,2017.03.20.21.54.54,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,-7.8731218422366823e-14,1.6508316855632892e-13,-1.3926443970811108e-14,-19.877259779105504,0.77192655098675089,2.1792320487653929,-4.8593831974079999e-13,2.6232452212208691e-13,1.3588969347181479e-13,37.390760019903155,1.8342574284036547e-13,0.0,2191
6,1e-12,2017.03.20.21.54.54,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,-4.7257163145730952e-12,-5.1382554595472956e-13,1.9507069974933763e-12,-7.499347073436013,-18.068007430119604,4.4982881654223723,-4.7257376173579621e-12,-5.1392593314946214e-13,1.9511049633183584e-12,20.681812367128483,5.1382554595472982e-12,0.0,161
7,1e-12,2017.03.20.21.54.54,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,-3.6142749859227965e-12,1.5414766378641902e-12,3.3109719522550025e-12,-9.714125015399544,-6.9537839697167891,16.108223653221206,-3.6148734010866373e-12,1.5375914336546733e-12,3.3155755351152994e-12,30.19231418324517,5.1382554595472982e-12,0.0,235
8,1e-12,2017.03.20.21.54.54,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,3.8903221432833277e-13,2.5691277297736495e-12,-4.4328214279271956e-12,12.182884477108805,-11.632210893366537,-10.889523838577185,3.8861298569312362e-13,2.5696211105293395e-12,-4.4322199982193482e-12,8.7348806246329822,5.1382554595472974e-12,0.0,34
9,1e-12,2017.03.20.21.54.54,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,2.2326349813048146e-12,3.5967788216831092e-12,2.9120769762685761e-12,18.6653773769048,-4.4908461025591295,5.9651129974896824,2.2323689094822952e-12,3.5964376389910373e-12,2.9124350712529377e-12,16.441987600161948,5.1382554595472982e-12,0.0,64
10,1e-12,2017.03.20.21.54.54,50000000000.0,1.066559779e-28,11.521735165611668,-16.0,-3.3540451358780783,-2.205476214140822e-12,4.6244299135925685e-12,-3.9011768826459649e-13,-4.9597101933153747,18.400737562107313,-6.1998838994902652,-2.2090845731937109e-12,4.6131731250491256e-12,-3.7341999418929726e-13,38.251156329076053,5.1382554595472982e-12,0.0,149
11,1e-12,2017.03.20.21.54.54,50000000000.0,1.066559779e-28,-9.5167021519092412,-7.9999999999999991,15.666281631320372,-7.3215704486512715e-14,-9.1712871420182724e-14,-1.4097238371024498e-13,-11.864647503533803,-10.866409328952962,11.89872567150921,-8.9472626263838547e-14,-1.0614115009875859e-13,-1.1222697783665507e-13,5.2910813035032671,1.8342574284036542e-13,0.0,588
12,1e-12,2017.03.20.21.54.54,50000000000.0,1.066559779e-28,-9.5167021519092412,-7.9999999999999991,15.666281631320372,1.6435962870817695e-13,-5.5027722852109621e-14,6.0023872793760189e-14,-8.2793682035368104,-8.4287666278711821,16.150137813480146,1.6131028333009316e-13,-5.7843810562470843e-14,6.7370167789217277e-14,1.3961709695002065,1.8342574284036547e-13,0.0,152
